Period,All groups,  All food ,    Food ,    Tropical beverages,    Vegetable oilseeds and oils ,  Agricultural raw materials,"  Minerals, ores and metals","    Minerals, ores and non-precious metals ",    Precious metals ,  Fuels ,  Tropical beverages and food ,  All groups excl. fuels,  All groups excl. precious metals,  All groups excl. precious metals and fuels ,Total medtech growth per year in Percentage,Total medtech revenue Billion,Volume growth rates of merchandise exports and imports,Volume index,World GDP growth rate
Year2005,34.62152181,4.823625121,9.229797853,27.80323397,-8.735885129,6.729707209,23.11737287,34.05871808,8.562715482,43.7360631,12.99108434,13.70621571,36.32847765,15.01725023,,,,,3.9161
Year2006,16.81104485,11.21794236,17.84144269,8.679402685,2.059970887,20.05370051,42.50825841,45.71302044,37.32406339,13.3838127,15.4560213,28.34689613,15.78895739,26.24054124,,,9.28,116.97,4.3782
Year2007,10.72921227,13.07524607,-2.920856782,9.285878294,46.54573266,11.07410347,13.79219871,13.04081748,15.52571749,10.10278388,-0.298354321,13.01493269,10.45342575,12.39349388,,,6.18,124.19,4.3221
Year2008,35.92499479,34.51231844,35.4193003,19.83906433,42.25129382,8.713711656,19.91764358,17.44334531,24.82888276,41.63724984,31.63007456,22.9742934,36.64347496,22.50876106,,,2.11,126.64,1.8523
Year2009,-27.15702776,-8.381807548,-1.94637103,2.450529846,-19.64197602,-14.59888285,-11.3364595,-24.11429395,9.497622597,-32.82482993,-1.088307804,-10.71547236,-29.34508854,-16.15225484,,,-12.83,110.15,-1.6736
Year2010,25.30967179,11.96387946,9.090895467,19.85862136,13.03931601,37.07816749,33.81259786,39.3846346,27.65161746,24.97861133,11.51758506,26.47664082,25.14731797,26.14021682,5.8,342.1,14.47,125.99,4.303
Year2011,29.01593586,25.62959047,22.63631923,32.43280153,27.27373607,26.63634787,21.40019013,13.52711993,31.08912537,32.32604579,24.97701517,23.10972188,28.80553443,20.2513697,8,352.9,5.94,133.32,3.1378
Year2012,-2.879210381,-6.417483651,-5.496987002,-22.31584962,1.080911413,-18.89050669,-6.722275364,-16.27050482,4.088207692,-0.244516373,-9.906735308,-8.003129194,-3.548412243,-12.42456798,2.6,362.1,2.03,136.01,2.5185
Year2013,-3.645982472,-9.538233968,-6.029418652,-19.67021997,-10.09458464,-8.557511591,-9.530808484,-1.847015897,-15.72030942,-0.929629841,-9.100434349,-9.502370875,-2.276574675,-6.481085501,2,369.8,2.09,138.87,2.666
Year2014,-7.871907012,-0.716333904,-1.109315927,24.8893073,-9.448681018,-11.80111456,-12.47531701,-14.49138828,-10.28789152,-7.360321598,3.954150336,-8.703951119,-7.542000134,-7.928823552,2.7,379.7,2.98,143.03,2.8611
Year2015,-36.16739474,-15.63321417,-15.35222083,-9.532342059,-18.50637292,-13.26916231,-17.21410938,-24.9001023,-9.893639546,-44.32678559,-14.05571643,-16.32071562,-38.57917959,-18.91552268,-2,371.2,1.97,145.8,2.8739
Year2016,-7.579925828,4.225569611,4.856779363,-3.112366748,7.467570382,-0.007125372,5.569248753,3.621478681,7.512771863,-14.6025281,2.83368104,4.494098243,-9.476019941,3.17464429,4.2,387.5,1.6,148.13,2.6058
Year2017,18.75012773,-0.850222331,-0.627917158,-2.736877862,-0.112679303,5.77451133,11.70001376,27.3708385,0.712686014,28.66013629,-1.127188297,6.787247764,21.90319384,9.8462925,4.1,405,4.92,155.41,3.2986
Year2018,16.44526366,-6.504498512,-6.017344851,-8.506434401,-6.113260508,-1.563507724,1.397415858,2.966674762,0.087506963,28.50827768,-6.605980975,-1.498243919,18.75075496,-2.121552049,5.5,433.7,3.26,160.46,2.9768
Year2019,-7.250652087,-1.674965823,2.041219272,-4.56548162,-6.417622246,-3.916377247,6.491510495,3.591663486,9.344882128,-12.03188557,0.537343388,3.015549996,-9.049128431,0.228179975,5.5,457.4,0.37,161.05,2.3646
Year2020,-15.53295766,6.601837737,3.383374825,4.898074828,13.42518821,-1.940491103,15.38045149,4.120954746,26.21829078,-31.47854405,3.693197037,11.33948239,-21.24446208,4.294066234,5.4,483.8,-7.67,147.38,-4.36
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
